person_age,person_income,loan_amnt,loan_int_rate,loan_status,PD,Exposure,LGD,Expected_Loss,Loan_Grade
21,12000,3250,15.68,1,0.97,3250,0.45,1418.625,E
22,70000,27500,13.06,1,0.985,27500,0.45,12189.375,C
22,240000,25000,10.99,0,0.03,25000,0.45,337.5,B
26,73200,27050,15.62,1,0.965,27050,0.45,11746.4625,D
24,83000,27000,13.49,1,0.95,27000,0.45,11542.5,C
24,73399,27000,10.99,1,0.975,27000,0.45,11846.25,D
23,62500,26000,11.71,1,0.985,26000,0.45,11524.5,B
23,120000,25600,12.69,0,0.05,25600,0.45,576.0000000000001,B
24,12360,1600,13.57,0,0.045,1600,0.45,32.4,C
22,60000,25475,10.99,1,0.96,25475,0.45,11005.2,B
25,234000,20000,14.27,0,0.05,20000,0.45,450.00000000000006,C
24,234000,20000,8.88,0,0.005,20000,0.45,45.00000000000001,B
26,234000,21600,12.18,0,0.03,21600,0.45,291.6,B
25,221004,11900,14.42,1,0.87,11900,0.45,4658.85,D
26,232500,25000,14.17,0,0.065,25000,0.45,731.25,C
25,230000,35000,13.99,0,0.105,35000,0.45,1653.75,C
23,83000,25300,10.99,1,0.71,25300,0.45,8083.35,B
25,12600,1750,13.61,0,0.07,1750,0.45,55.125000000000014,C
21,42500,25000,12.73,1,0.985,25000,0.45,11081.25,C
24,41000,25000,10.99,1,0.995,25000,0.45,11193.75,D
25,12816,3000,12.87,1,0.95,3000,0.45,1282.5,C
24,12960,3650,9.91,1,0.88,3650,0.45,1445.4,B
26,226000,20000,11.49,0,0.025,20000,0.45,225.00000000000003,B
25,225000,30000,19.91,0,0.175,30000,0.45,2362.5,E
26,213000,35000,10.65,1,0.635,35000,0.45,10001.25,B
24,225000,6000,10.99,0,0.055,6000,0.45,148.5,B
24,12960,4500,11.83,1,0.965,4500,0.45,1954.1249999999998,B
23,12996,2400,13.49,1,0.92,2400,0.45,993.6000000000001,C
22,42000,25000,14.59,1,0.995,25000,0.45,11193.75,D
26,48000,25000,9.64,1,0.965,25000,0.45,10856.25,B
25,12996,3600,14.59,1,0.875,3600,0.45,1417.5,D
22,12996,4750,10.99,1,0.955,4750,0.45,2041.3124999999998,B
25,42360,25000,16.35,1,0.96,25000,0.45,10800.0,E
21,49000,25000,10.99,1,0.985,25000,0.45,11081.25,B
25,225000,25000,18.67,0,0.15,25000,0.45,1687.5,F
26,225000,3000,9.32,0,0.06,3000,0.45,81.0,A
23,225000,7500,8.63,0,0.015,7500,0.45,50.625,A
26,225000,25000,10.08,0,0.02,25000,0.45,225.00000000000003,B
22,49464,25000,11.83,1,1.0,25000,0.45,11250.0,B
23,50000,25000,7.9,1,0.995,25000,0.45,11193.75,A
25,50000,25000,5.99,1,0.97,25000,0.45,10912.5,A
24,44000,25000,15.33,1,1.0,25000,0.45,11250.0,D
23,50000,25000,11.83,1,1.0,25000,0.45,11250.0,B
22,50004,25000,10.36,1,0.99,25000,0.45,11137.5,B
22,50004,25000,12.23,1,1.0,25000,0.45,11250.0,C
22,52000,25000,11.11,1,0.98,25000,0.45,11025.0,B
23,13200,4950,7.9,1,0.98,4950,0.45,2182.95,A
24,220000,25000,11.58,0,0.03,25000,0.45,337.5,B
23,216000,21000,8.9,0,0.005,21000,0.45,47.25000000000001,A
25,216000,25000,16.07,0,0.065,25000,0.45,731.25,D
26,216000,20000,14.22,0,0.04,20000,0.45,360.00000000000006,C
23,215000,35000,14.79,0,0.175,35000,0.45,2756.25,C
26,215000,12000,7.88,0,0.02,12000,0.45,108.00000000000001,A
23,52000,25000,13.22,1,0.995,25000,0.45,11193.75,C
26,46000,25000,11.86,1,0.995,25000,0.45,11193.75,D
22,53000,25000,13.43,1,1.0,25000,0.45,11250.0,C
26,47000,25000,15.28,1,0.995,25000,0.45,11193.75,D
23,47000,25000,17.93,1,1.0,25000,0.45,11250.0,E
23,13200,1400,9.25,0,0.125,1400,0.45,78.75,B
21,13200,4500,12.98,1,0.99,4500,0.45,2004.75,C
22,210000,16000,10.62,0,0.0,16000,0.45,0.0,B
26,210000,22000,11.83,0,0.0,22000,0.45,0.0,B
26,48000,25000,18.43,1,0.945,25000,0.45,10631.249999999998,F
22,54996,25000,10.99,1,0.995,25000,0.45,11193.75,B
24,55000,25000,10.99,1,0.985,25000,0.45,11081.25,D
23,55000,25000,11.36,1,0.985,25000,0.45,11081.25,B
23,55000,25000,15.65,1,0.98,25000,0.45,11025.0,D
24,55164,25000,13.22,1,0.99,25000,0.45,11137.5,C
26,56000,25000,12.87,1,1.0,25000,0.45,11250.0,C
24,203500,20000,13.04,0,0.0,20000,0.45,0.0,C
23,190000,22000,17.58,1,0.77,22000,0.45,7623.000000000001,F
23,13920,7750,17.04,1,0.87,7750,0.45,3034.125,E
24,60000,25000,10.99,1,0.995,25000,0.45,11193.75,B
24,60000,25000,11.11,1,1.0,25000,0.45,11250.0,B
26,54000,25000,14.83,1,1.0,25000,0.45,11250.0,D
23,14000,4000,10.99,1,0.88,4000,0.45,1584.0,D
24,200000,12000,12.69,0,0.045,12000,0.45,243.0,B
24,200000,12000,13.49,0,0.215,12000,0.45,1161.0,C
21,200000,16000,14.65,0,0.015,16000,0.45,108.0,C
25,54000,25000,16.82,1,0.97,25000,0.45,10912.5,E
23,60000,25000,12.73,1,0.995,25000,0.45,11193.75,C
23,60000,25000,10.25,1,0.985,25000,0.45,11081.25,B
21,60000,25000,10.99,1,0.98,25000,0.45,11025.0,B
25,61959,25000,12.73,1,1.0,25000,0.45,11250.0,C
22,56400,25000,14.96,1,0.995,25000,0.45,11193.75,D
23,200000,28000,10.99,0,0.02,28000,0.45,252.00000000000003,A
21,200000,25000,13.99,0,0.03,25000,0.45,337.5,C
24,200000,24000,7.49,0,0.0,24000,0.45,0.0,A
26,200000,15000,14.79,0,0.045,15000,0.45,303.75,C
25,200000,15500,11.99,0,0.015,15500,0.45,104.625,B
24,200000,10000,8.49,0,0.045,10000,0.45,202.5,A
24,66000,25000,9.91,1,0.965,25000,0.45,10856.25,B
22,66000,25000,13.06,1,0.995,25000,0.45,11193.75,C
22,200000,9000,6.17,0,0.005,9000,0.45,20.250000000000004,A
25,200000,18000,16.32,0,0.07,18000,0.45,567.0000000000001,D
25,200000,12000,10.38,0,0.0,12000,0.45,0.0,B
25,200000,23050,14.35,0,0.025,23050,0.45,259.31250000000006,C
24,200000,20000,10.99,0,0.0,20000,0.45,0.0,B
24,60000,25000,10.99,1,0.97,25000,0.45,10912.5,E
21,14400,3000,10.99,1,0.965,3000,0.45,1302.75,B
26,66996,25000,15.21,1,0.99,25000,0.45,11137.5,D
23,67000,25000,7.9,1,0.98,25000,0.45,11025.0,A
24,67000,25000,10.99,1,0.98,25000,0.45,11025.0,B
24,68000,25000,14.09,1,0.97,25000,0.45,10912.5,D
25,69000,25000,17.49,1,0.97,25000,0.45,10912.5,D
25,200000,12000,11.48,0,0.045,12000,0.45,243.0,B
26,188000,20000,17.74,1,0.7,20000,0.45,6300.0,E
26,200000,3000,13.92,0,0.02,3000,0.45,27.000000000000004,C
25,69996,25000,15.21,1,0.97,25000,0.45,10912.5,D
22,14400,4000,10.99,1,0.96,4000,0.45,1728.0,B
24,70000,25000,11.86,1,0.995,25000,0.45,11193.75,B
24,14400,6000,7.49,1,0.98,6000,0.45,2646.0,A
24,56100,25000,16.49,1,1.0,25000,0.45,11250.0,D
25,66000,25000,15.33,1,0.935,25000,0.45,10518.75,D
26,66000,25000,11.58,1,0.99,25000,0.45,11137.5,B
25,14400,5375,5.79,1,0.965,5375,0.45,2334.09375,A
25,72612,25000,13.11,1,0.985,25000,0.45,11081.25,C
23,74000,25000,10.36,1,1.0,25000,0.45,11250.0,B
25,75000,25000,10.36,1,0.98,25000,0.45,11025.0,B
24,192000,22000,10.99,0,0.075,22000,0.45,742.5,C
25,191000,10000,12.53,0,0.055,10000,0.45,247.5,B
26,190300,15000,10.99,0,0.05,15000,0.45,337.50000000000006,A
22,190000,10000,10.99,0,0.07,10000,0.45,315.00000000000006,C
24,75000,25000,10.25,1,1.0,25000,0.45,11250.0,B
22,71000,25000,15.95,1,0.945,25000,0.45,10631.249999999998,D
26,190000,20000,12.18,0,0.0,20000,0.45,0.0,B
23,189996,24000,11.83,0,0.02,24000,0.45,216.00000000000003,B
23,78000,25000,10.99,1,0.975,25000,0.45,10968.75,C
23,78000,25000,10.62,1,0.99,25000,0.45,11137.5,B
23,78504,25000,10.74,1,0.98,25000,0.45,11025.0,B
25,186000,10000,10.25,0,0.0,10000,0.45,0.0,B
25,185000,15000,15.27,0,0.23,15000,0.45,1552.5000000000002,C
24,62050,25000,15.33,1,1.0,25000,0.45,11250.0,D
23,79416,25000,15.21,1,0.93,25000,0.45,10462.500000000002,D
21,14400,6250,14.72,1,0.935,6250,0.45,2629.6875,C
24,79631,25000,15.7,1,0.92,25000,0.45,10350.0,D
24,79632,25000,13.35,1,0.99,25000,0.45,11137.5,C
21,14400,1500,10.99,0,0.1,1500,0.45,67.50000000000001,C
24,80000,25000,6.62,1,0.955,25000,0.45,10743.75,A
26,80000,25000,13.61,1,0.965,25000,0.45,10856.25,C
22,185000,25000,11.36,0,0.055,25000,0.45,618.75,B
26,185000,5000,7.68,0,0.0,5000,0.45,0.0,A
24,184992,22000,14.46,0,0.285,22000,0.45,2821.5,D
23,184000,2500,11.83,0,0.0,2500,0.45,0.0,B
24,172000,20000,13.47,1,0.055,20000,0.45,495.0,C
24,183000,20000,11.49,0,0.005,20000,0.45,45.00000000000001,B
22,183000,1000,10.99,0,0.05,1000,0.45,22.500000000000004,A
25,182952,15000,6.03,0,0.0,15000,0.45,0.0,A
23,74004,25000,16.35,1,0.985,25000,0.45,11081.25,E
26,74004,25000,10.99,1,1.0,25000,0.45,11250.0,D
25,81000,25000,7.29,1,0.91,25000,0.45,10237.5,A
23,81600,25000,11.36,1,0.98,25000,0.45,11025.0,B
24,82000,25000,10.25,0,0.03,25000,0.45,337.5,B
24,83000,25000,11.12,0,0.15,25000,0.45,1687.5,B
24,83000,25000,12.92,0,0.25,25000,0.45,2812.5,D
24,180000,18000,18.64,0,0.12,18000,0.45,972.0,E
23,180000,28000,7.51,0,0.015,28000,0.45,189.0,A
23,14400,4000,16.7,1,0.77,4000,0.45,1386.0000000000002,E
22,14400,2100,11.14,0,0.11,2100,0.45,103.95,B
22,84500,25000,18.3,0,0.605,25000,0.45,6806.25,F
24,85000,25000,10.62,0,0.06,25000,0.45,675.0,B
24,180000,14000,11.99,0,0.0,14000,0.45,0.0,B
26,180000,12000,9.63,0,0.0,12000,0.45,0.0,B
25,142800,10000,18.25,1,0.915,10000,0.45,4117.5,F
23,14664,6000,10.99,1,0.975,6000,0.45,2632.5,C
24,87000,25000,14.84,0,0.125,25000,0.45,1406.25,D
24,75000,25000,14.7,1,0.95,25000,0.45,10687.5,E
23,76000,25000,16.02,1,0.985,25000,0.45,11081.25,D
23,66215,25000,15.37,1,0.99,25000,0.45,11137.5,D
25,90000,25000,10.99,0,0.035,25000,0.45,393.7500000000001,B
21,15000,6200,7.9,1,0.955,6200,0.45,2664.45,A
26,180000,25000,10.99,0,0.0,25000,0.45,0.0,B
24,180000,21000,11.48,0,0.0,21000,0.45,0.0,B
25,180000,20000,14.26,0,0.02,20000,0.45,180.00000000000003,C
26,180000,10000,8.0,0,0.0,10000,0.45,0.0,A
25,180000,9950,11.26,0,0.0,9950,0.45,0.0,B
23,15000,4475,10.99,1,0.95,4475,0.45,1913.0625,B
23,78000,25000,16.32,1,0.995,25000,0.45,11193.75,D
25,66300,25000,17.93,1,0.98,25000,0.45,11025.0,E
23,90000,25000,11.36,0,0.06,25000,0.45,675.0,B
24,79000,25000,14.96,1,0.995,25000,0.45,11193.75,D
24,91800,25000,13.43,0,0.03,25000,0.45,337.5,C
25,92000,25000,12.69,0,0.04,25000,0.45,450.00000000000006,B
24,92000,25000,12.73,0,0.045,25000,0.45,506.25,C
23,93600,25000,15.21,0,0.44,25000,0.45,4950.0,D
23,15000,1750,12.68,0,0.07,1750,0.45,55.125000000000014,C
23,70550,25000,19.04,1,0.975,25000,0.45,10968.75,F
25,83800,25000,15.95,1,0.92,25000,0.45,10350.0,D
26,175000,2600,8.9,0,0.0,2600,0.45,0.0,A
25,175000,8000,7.9,0,0.01,8000,0.45,36.00000000000001,A
22,175000,18000,10.99,0,0.01,18000,0.45,81.00000000000001,B
23,175000,21000,11.99,0,0.02,21000,0.45,189.00000000000003,B
23,15000,4000,13.98,1,0.91,4000,0.45,1638.0000000000002,C
23,15000,4600,10.99,1,0.945,4600,0.45,1956.1499999999999,B
22,88000,25000,15.58,1,0.945,25000,0.45,10631.249999999998,D
25,74800,25000,10.99,1,0.725,25000,0.45,8156.25,B
25,88000,25000,14.96,1,0.98,25000,0.45,11025.0,D
25,15000,1750,15.31,0,0.19,1750,0.45,149.625,D
26,88000,25000,15.65,1,0.98,25000,0.45,11025.0,D
25,100000,25000,9.33,0,0.01,25000,0.45,112.50000000000001,B
23,15000,3600,13.47,1,0.965,3600,0.45,1563.3,C
24,102400,25000,10.36,0,0.0,25000,0.45,0.0,B
24,92000,25000,16.77,1,0.885,25000,0.45,9956.25,E
23,93000,25000,14.59,1,0.935,25000,0.45,10518.75,D
22,175000,3500,11.91,0,0.075,3500,0.45,118.12500000000001,C
23,175000,7200,8.38,0,0.02,7200,0.45,64.80000000000001,A
25,174708,9000,10.59,0,0.005,9000,0.45,20.250000000000004,B
25,174000,8800,14.27,0,0.03,8800,0.45,118.8,C
26,174000,12000,12.53,0,0.04,12000,0.45,216.00000000000003,B
25,162000,25000,16.0,1,0.83,25000,0.45,9337.5,E
26,173467,10000,11.71,0,0.0,10000,0.45,0.0,B
21,15000,3175,11.54,1,0.955,3175,0.45,1364.45625,C
25,96000,25000,15.68,1,0.965,25000,0.45,10856.25,E
21,15120,1500,10.59,0,0.08,1500,0.45,54.00000000000001,B
24,97908,25000,12.61,1,0.455,25000,0.45,5118.75,D
26,110000,25000,10.99,0,0.025,25000,0.45,281.25000000000006,C
23,15204,2800,8.49,1,0.945,2800,0.45,1190.6999999999998,A
25,159600,30000,17.27,1,0.955,30000,0.45,12892.499999999998,D
24,171500,18000,8.9,0,0.005,18000,0.45,40.50000000000001,A
25,170004,10000,11.11,0,0.02,10000,0.45,90.00000000000001,B
24,158004,25000,14.59,1,0.95,25000,0.45,10687.5,D
26,170000,13000,12.42,0,0.0,13000,0.45,0.0,B
24,83300,25000,10.99,1,0.935,25000,0.45,10518.75,D
24,110000,25000,15.7,0,0.185,25000,0.45,2081.25,D
22,15360,2500,12.53,1,0.945,2500,0.45,1063.125,B
25,134300,5000,16.49,1,0.955,5000,0.45,2148.75,D
25,170000,20000,7.49,0,0.0,20000,0.45,0.0,A
22,100580,25000,14.96,1,0.92,25000,0.45,10350.0,D
25,113000,25000,12.73,0,0.035,25000,0.45,393.7500000000001,C
24,120000,25000,10.65,0,0.015,25000,0.45,168.75,B
25,120000,25000,10.74,0,0.08,25000,0.45,900.0000000000001,B
23,120000,25000,9.99,0,0.015,25000,0.45,168.75,B
24,91800,25000,15.33,1,0.94,25000,0.45,10575.0,D
21,15600,1000,7.29,0,0.17,1000,0.45,76.50000000000001,A
26,108000,25000,15.05,1,0.935,25000,0.45,10518.75,D
26,129996,25000,10.75,0,0.01,25000,0.45,112.50000000000001,B
23,130000,25000,16.02,0,0.06,25000,0.45,675.0,D
23,130000,25000,11.49,0,0.01,25000,0.45,112.50000000000001,B
25,170000,20000,12.53,0,0.005,20000,0.45,45.00000000000001,B
26,170000,12000,13.57,0,0.035,12000,0.45,189.00000000000006,C
22,169000,14000,11.14,0,0.025,14000,0.45,157.50000000000003,B
26,168750,24250,12.87,0,0.115,24250,0.45,1254.9375,C
23,168600,20000,11.58,0,0.005,20000,0.45,45.00000000000001,B
24,168288,1800,11.12,0,0.105,1800,0.45,85.05,B
25,168000,35000,10.65,0,0.17,35000,0.45,2677.5000000000005,B
24,133300,25000,10.37,0,0.015,25000,0.45,168.75,B
24,15600,3300,6.39,1,0.94,3300,0.45,1395.8999999999999,A
24,134000,25000,16.07,0,0.045,25000,0.45,506.25,D
25,134000,25000,10.62,0,0.03,25000,0.45,337.5,B
25,15600,3200,18.09,1,0.91,3200,0.45,1310.4,F
25,135000,25000,11.36,0,0.04,25000,0.45,450.00000000000006,B
26,135660,25000,12.53,0,0.11,25000,0.45,1237.5,B
25,145000,25000,9.99,0,0.025,25000,0.45,281.25000000000006,B
23,150000,25000,10.36,0,0.025,25000,0.45,281.25000000000006,B
23,165000,9600,5.99,0,0.005,9600,0.45,21.6,A
22,153000,24000,15.62,1,0.88,24000,0.45,9504.0,D
24,165000,20000,10.37,0,0.005,20000,0.45,45.00000000000001,B
25,165000,25000,19.74,0,0.21,25000,0.45,2362.5,F
21,165000,20000,6.91,0,0.0,20000,0.45,0.0,A
23,16000,6000,7.9,1,0.98,6000,0.45,2646.0,A
23,16000,2275,13.06,0,0.145,2275,0.45,148.44375,C
23,16000,2000,6.39,0,0.23,2000,0.45,207.00000000000003,A
23,148000,25000,14.93,1,0.945,25000,0.45,10631.249999999998,E
23,16000,5600,12.84,1,0.965,5600,0.45,2431.7999999999997,C
24,16020,3625,17.14,1,0.88,3625,0.45,1435.5,E
22,16094,5500,7.14,1,0.945,5500,0.45,2338.875,A
25,175000,25000,8.9,0,0.015,25000,0.45,168.75,A
22,16200,2000,12.42,0,0.22,2000,0.45,198.0,B
24,185000,25000,12.68,0,0.015,25000,0.45,168.75,C
25,162000,25000,11.03,0,0.115,25000,0.45,1293.75,C
26,161000,30000,7.9,0,0.015,30000,0.45,202.5,A
22,160000,35000,10.65,0,0.05,35000,0.45,787.5000000000001,B
25,225000,25000,11.86,0,0.03,25000,0.45,337.5,B
25,16400,5000,8.94,1,0.905,5000,0.45,2036.25,A
23,16500,4375,9.63,1,0.905,4375,0.45,1781.71875,B
25,49500,24750,14.22,1,0.995,24750,0.45,11081.8125,C
23,60000,24750,9.33,1,0.98,24750,0.45,10914.75,B
24,84200,24500,13.85,0,0.05,24500,0.45,551.2500000000001,C
22,16800,2000,10.65,0,0.12,2000,0.45,108.0,B
24,92000,24500,11.46,0,0.0,24500,0.45,0.0,B
23,160000,35000,7.66,0,0.05,35000,0.45,787.5000000000001,A
24,160000,12000,16.77,0,0.1,12000,0.45,540.0000000000001,E
25,160000,12000,9.63,0,0.035,12000,0.45,189.00000000000006,B
26,160000,25000,12.23,0,0.025,25000,0.45,281.25000000000006,C
25,125800,10000,14.09,1,0.95,10000,0.45,4275.0,D
25,54000,24250,13.98,1,0.985,24250,0.45,10748.8125,C
23,62500,24250,10.62,1,0.965,24250,0.45,10530.5625,B
25,68400,24250,17.56,1,0.945,24250,0.45,10312.312499999998,E
26,56045,24250,14.96,1,0.995,24250,0.45,10857.9375,D
22,74000,24250,15.65,1,0.995,24250,0.45,10857.9375,D
24,65453,24250,15.7,1,0.99,24250,0.45,10803.375,D
24,89908,24250,12.53,0,0.01,24250,0.45,109.12500000000001,B
26,78000,24250,17.56,1,0.975,24250,0.45,10639.6875,E
23,100000,24250,12.87,0,0.05,24250,0.45,545.6250000000001,C
23,103000,24250,15.7,0,0.13,24250,0.45,1418.625,D
25,160000,9000,10.99,0,0.06,9000,0.45,243.0,A
25,160000,15000,11.14,0,0.005,15000,0.45,33.75000000000001,B
24,160000,20000,16.0,0,0.055,20000,0.45,495.0,D
23,160000,25000,15.65,0,0.1,25000,0.45,1125.0000000000002,D
26,160000,13750,10.99,0,0.045,13750,0.45,278.4375,C
21,160000,15250,15.31,0,0.095,15250,0.45,651.9375,D
25,160000,20000,13.47,0,0.0,20000,0.45,0.0,C
22,16800,4750,13.85,1,0.985,4750,0.45,2105.4375,C
25,111996,24250,10.99,0,0.345,24250,0.45,3764.8125,D
21,16800,6000,10.39,1,0.935,6000,0.45,2524.5,B
25,115200,24250,11.36,0,0.125,24250,0.45,1364.0625,B
23,144000,24250,11.83,0,0.01,24250,0.45,109.12500000000001,B
23,287000,24250,12.53,0,0.06,24250,0.45,654.75,B
22,108000,24150,14.96,1,0.9,24150,0.45,9780.75,D
22,43000,24000,13.85,1,0.995,24000,0.45,10746.0,C
23,47004,24000,11.58,1,0.99,24000,0.45,10692.0,B
24,48000,24000,16.29,1,0.945,24000,0.45,10205.999999999998,D
26,48000,24000,10.99,1,0.99,24000,0.45,10692.0,A
21,44964,24000,16.29,1,0.985,24000,0.45,10638.0,D
24,47000,24000,17.8,1,0.98,24000,0.45,10584.0,F
22,17400,1000,11.36,0,0.19,1000,0.45,85.5,B
22,49000,24000,17.56,1,0.995,24000,0.45,10746.0,E
26,60000,24000,7.9,1,0.985,24000,0.45,10638.0,A
25,60000,24000,10.99,1,0.985,24000,0.45,10638.0,B
22,60000,24000,7.29,1,0.97,24000,0.45,10476.0,A
21,60000,24000,10.75,1,0.98,24000,0.45,10584.0,B
26,62004,24000,7.9,1,0.99,24000,0.45,10692.0,A
22,62400,24000,14.84,1,0.955,24000,0.45,10314.0,D
26,65000,24000,10.99,1,0.995,24000,0.45,10746.0,A
22,17760,4975,10.99,1,0.95,4975,0.45,2126.8125,C
23,59000,24000,19.69,1,0.965,24000,0.45,10422.0,E
23,66000,24000,10.99,1,0.96,24000,0.45,10368.0,A
24,60000,24000,14.96,1,0.985,24000,0.45,10638.0,D
25,66143,24000,6.99,1,0.985,24000,0.45,10638.0,A
22,62250,24000,16.45,1,0.84,24000,0.45,9072.0,E
24,70000,24000,10.99,1,0.995,24000,0.45,10746.0,B
23,74000,24000,10.99,1,0.98,24000,0.45,10584.0,B
22,18000,3000,7.9,1,0.935,3000,0.45,1262.25,A
22,75000,24000,12.69,1,0.995,24000,0.45,10746.0,B
24,75000,24000,10.37,1,0.975,24000,0.45,10530.0,B
24,75000,24000,10.99,1,0.885,24000,0.45,9558.0,C
26,69000,24000,15.83,1,0.975,24000,0.45,10530.0,F
23,78000,24000,13.92,1,0.965,24000,0.45,10422.0,C
24,80000,24000,10.25,0,0.045,24000,0.45,486.0,B
